
# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=101
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,71,5292,6170
1,115,6269,6950
2,129,7563,8198
3,108,8471,9203
4,132,9164,10050
5,358,10090,10687
6,338,11065,11745
8,495,12348,12856
7,466,12247,12925
9,593,13199,13774
10,626,13647,14504
11,605,13861,14533
13,666,14002,14711
12,627,14292,14772
14,645,14626,15512
15,688,15146,16079
16,766,15668,16387
18,881,16129,16649
17,808,16142,16748
19,896,16000,16842
20,914,16027,16865
22,980,16414,17104
21,1001,16305,17213
23,1064,16489,17382
24,1087,16700,17350
25,1190,16860,17582
26,1247,16945,17747
28,1401,17533,18101
27,1422,17434,18196
29,1478,17438,18280
30,1604,17855,18585
31,1781,18068,18750
33,1977,18292,18936
32,1998,18221,19033
34,2111,18574,19112
35,2149,18673,19367
36,2168,18783,19480
37,2239,18739,19544
38,2312,18849,19661
39,2314,18889,19640
40,2474,18606,19618
41,2487,18788,19606
42,2510,18784,19619
45,2677,19005,19513
43,2503,18836,19633
46,2682,18901,19486
44,2561,18740,19646
48,2862,18867,19502
47,2725,18751,19680
49,2866,18729,19588
50,2860,18837,19559
51,2981,18921,19561
54,3484,18911,19515
52,3109,19021,19828
53,3366,19000,19802
55,3498,18943,19770
57,3577,18891,19677
56,3535,18857,19748
60,3636,19094,19580
58,3659,19039,19784
59,3633,19043,19853
61,3718,19076,19826
63,3794,19041,19790
62,3772,18948,19888
66,4126,19260,19708
64,4050,19002,19931
65,4133,19093,19883
67,4177,19146,19872
71,4275,19174,19740
72,4254,19217,19719
69,4164,19228,19872
68,4191,19126,19966
73,4267,19026,19795
70,4193,19071,19988
78,4474,19082,19647
74,4246,19138,19912
76,4355,19212,19870
75,4303,19157,19952
79,4516,19163,19776
77,4420,19357,19930

# Run: Patrons=80, Scheduler=SJF, Quantum=N/A, Switch=3, Seed=101
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
4,146,486,1231
13,29,1468,1879
47,60,430,985
70,141,266,993
36,183,2833,3501
35,2769,2915,3580
79,47,1172,1609
2,70,4974,5687
75,54,1938,2377
73,1667,1976,2550
42,3432,3726,4281
18,252,5262,5852
59,64,3424,3826
12,27,5996,6630
62,28,3738,4226
33,40,5899,6716
63,56,4715,5327
51,29,5404,6050
78,70,4062,4732
69,4021,4549,5271
10,29,7824,8449
29,71,7298,7730
11,349,8101,8928
31,4401,7907,8588
40,35,7405,8207
20,6368,8666,9592
19,31,9508,10139
60,6299,7527,8135
30,3146,8816,9638
24,9213,9289,10013
6,104,10705,11381
41,273,9103,9661
16,785,10275,10964
14,38,10921,11749
3,49,11900,12728
61,109,9568,10204
67,180,9332,9986
58,9477,9646,10557
9,12112,12470,13180
22,3975,12131,12917
45,5441,10951,11828
43,36,11691,12331
7,116,13586,14363
57,1733,11202,12037
5,7819,13902,14760
76,141,10943,11800
34,13181,13233,13929
64,63,11687,12488
44,68,13033,13723
66,49,12018,12736
55,8802,12447,13409
53,84,12772,13543
28,8365,14559,15330
77,38,12378,13083
50,55,13911,14688
26,49,15232,16001
49,183,14192,14860
39,139,14993,15883
38,5394,15066,16007
21,46,16446,17165
25,76,16076,16985
52,15398,15747,16402
8,12913,17994,18788
17,73,18016,18635
56,61,15858,16749
46,16017,16505,17417
15,85,18724,19407
27,1124,18316,19307
68,67,16648,17525
72,489,16733,17507
0,71,20536,21366
48,1380,18364,19240
65,70,18161,18871
54,18674,18778,19627
1,222,21721,22602
74,612,18130,18998
71,38,18833,19740
37,45,20716,21520
32,173,21259,22060
23,79,21990,22685

# Run: Patrons=80, Scheduler=RR, Quantum=75, Switch=3, Seed=101
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,71,4453,5194
1,117,5417,6252
3,108,7246,8078
4,134,7753,8588
6,226,9049,9748
8,384,10442,11102
9,481,11128,11749
10,596,11661,12179
11,573,11739,12641
2,131,13699,14283
7,354,13563,14146
16,772,13398,14251
17,752,13614,14246
18,824,13856,14403
19,907,14172,14484
20,881,14087,14702
21,999,14317,15185
22,1033,14422,15165
26,1338,14986,15458
13,634,15556,16183
27,1365,15055,15716
28,1398,15349,15983
34,1761,16026,16821
37,1938,16296,16700
36,1894,16190,16919
39,2042,16384,17131
38,2038,16417,17185
41,2193,16582,17143
42,2172,16398,17151
23,1060,17453,18256
45,2361,16488,17310
49,2493,16461,17129
24,1084,17728,18490
51,2639,16644,17268
50,2496,16746,17406
12,597,18875,19369
53,2819,16578,17339
52,2686,16649,17393
56,2978,16806,17218
15,679,18952,19400
57,3055,16705,17420
59,3170,16879,17402
29,4591,18156,18989
61,3122,16886,17552
30,1578,18515,19169
63,3238,16885,17603
60,3149,16928,17774
33,1703,18850,19536
66,3625,17068,17915
73,3798,17286,17709
72,3819,17227,17952
79,3999,17023,17733
78,3980,17224,17869
5,1754,20928,21565
44,2189,18981,19863
25,1186,20291,20983
58,3113,18637,19395
55,6900,18723,19564
31,8828,20266,21048
65,3552,18756,19538
70,3612,18805,19308
71,7516,18793,19380
69,3574,18744,19482
74,3829,18644,19323
40,2020,20505,21076
76,3953,18838,19320
35,5469,20541,21373
77,7963,18559,19370
47,2367,20432,20982
46,2334,20615,21077
54,2912,20124,20776
32,9017,21564,22042
67,3619,19716,20353
62,7121,19880,20612
68,3597,19790,20451
43,2166,21071,21762
75,3933,19589,20179
14,677,22707,23295
64,7230,20298,20812
48,2489,20984,21652

# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=102
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,61,4754,5572
1,98,5550,6363
3,96,8631,9368
2,77,8739,9497
4,358,11978,12672
5,386,13069,13771
6,439,13759,14490
7,542,14382,15082
8,536,14506,15105
10,871,15412,15780
9,653,15001,15913
12,829,15913,16685
13,808,16098,16708
11,850,16214,17016
14,876,16331,17182
16,1056,17729,18222
15,1013,17638,18290
17,1079,17592,18342
18,1132,17809,18313
20,1190,17987,18485
19,1161,17886,18618
21,1287,18019,18733
22,1316,18092,18809
23,1389,18152,18806
24,1442,18263,18989
26,1424,18333,18892
25,1450,18327,19021
27,1476,18328,19072
28,1450,18513,19078
29,1428,18557,19056
30,1606,18306,19158
31,1658,18700,19285
33,1761,19167,19636
32,1710,19041,19987
34,1844,19186,19974
35,1873,19261,20097
37,2128,19807,20457
36,2055,19593,20536
39,2173,20037,20468
38,2170,19720,20682
42,2291,19929,20685
44,2645,20196,20754
40,2314,20022,21017
45,2659,20267,20891
41,2293,20366,21116
43,2513,20188,21064
46,2701,20239,21012
49,2853,20254,20910
48,2726,20254,20963
47,2748,20271,21059
51,2957,20331,20887
52,2971,20236,20840
50,2900,20262,21014
53,3168,20175,20916
54,3142,20325,20945
55,3200,20121,20933
58,3539,20247,20852
56,3301,20079,20956
60,3674,20181,20835
57,3408,20196,20988
62,3911,20054,20767
59,3592,20122,21005
61,3857,20036,20949
65,4004,20131,20777
63,4018,20032,20951
64,3997,20145,20969
66,4092,20027,20873
69,4449,20018,20796
67,4309,20077,21010
70,4470,20295,20867
68,4420,20189,21017
73,4562,20217,20845
71,4473,20023,21019
74,4591,20156,20902
72,4589,20215,21091
75,4912,20173,20984
78,4992,20254,20863
76,4891,20170,21086
77,4915,20194,21040
79,4996,20335,20984

# Run: Patrons=80, Scheduler=SJF, Quantum=N/A, Switch=3, Seed=102
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
4,151,402,980
11,64,285,1082
17,138,223,800
31,23,233,682
38,173,347,946
6,75,2025,2694
50,95,370,964
66,194,573,1371
23,50,3542,3751
10,85,3870,4425
19,92,3470,4163
26,595,3205,3917
32,231,2910,3671
73,41,1423,2170
34,38,4514,5162
64,2926,3449,3995
21,50,6337,6880
15,5101,6474,7255
39,40,5429,6165
40,5271,5482,6212
79,274,3796,4647
47,2331,6236,6851
68,4897,5068,5855
46,5891,6199,7053
37,72,7305,8043
2,74,9315,10109
44,7200,8009,8450
27,8729,8808,9447
55,204,7746,8337
7,99,9967,10761
52,7585,7939,8626
53,67,8415,9112
71,4868,8022,8749
12,97,11191,11870
3,93,11730,12325
54,2968,9529,10254
36,394,10666,11292
5,12193,12354,13097
13,11895,12126,12927
76,55,9427,9909
75,3137,9341,9977
69,72,9905,10452
0,61,13310,14075
67,236,10321,11190
45,35,11762,12456
48,74,11581,12353
35,12161,12188,13034
56,37,11637,12204
78,2689,10363,11196
42,346,12340,13080
41,51,12885,13607
18,11102,14035,14881
14,89,14242,15155
8,156,14823,15644
74,44,11925,12615
62,12812,12914,13577
77,62,12376,13037
25,4215,15069,16110
61,145,13838,14436
49,3088,14650,15556
70,13685,14042,14832
72,231,14413,15066
51,15560,15676,16523
33,64,18050,18639
22,4291,18477,19409
1,96,19969,20714
30,190,18721,19423
24,17623,18982,19873
59,85,17899,18660
20,15016,20260,21162
60,3024,18592,19499
9,21218,21346,22159
63,16566,18805,19733
65,191,19074,19910
29,9854,21262,22114
28,21608,21959,22907
57,8559,20725,21517
16,8787,22785,23683
43,21537,21639,22546
58,106,21306,22164

# Run: Patrons=80, Scheduler=RR, Quantum=75, Switch=3, Seed=102
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,61,3885,4724
3,91,5879,6776
2,73,6479,7160
5,269,8930,9536
6,323,9399,9902
4,240,9302,10023
15,826,13756,14527
18,921,14499,15098
17,892,14735,15464
8,499,15752,16483
22,1214,15586,16093
23,1311,15700,16487
11,635,16582,17223
24,1316,15834,16631
28,1404,16064,16496
26,1352,16069,16675
33,1540,16416,16959
32,1566,16580,17288
34,1677,16778,17554
35,1734,16906,17531
1,94,19020,19582
39,1903,17270,17737
37,1928,17255,17953
38,1931,17130,17924
7,426,18827,19640
44,2100,17375,17963
42,1973,17437,18119
45,2193,17347,18089
21,1120,18575,19378
48,2415,17354,18030
49,2445,17409,18104
10,4220,19347,20130
51,2522,17515,18184
54,2640,17747,18200
55,2669,17569,18189
27,1356,19086,19725
30,1539,19567,19900
59,3072,17917,18531
13,740,20214,20867
61,3182,17858,18645
31,1518,19632,20380
14,847,20668,21262
64,3407,18080,18796
67,3595,18022,18750
68,3599,18107,18729
66,3537,18166,18902
70,3730,18157,18711
72,3864,18281,18961
71,3733,18273,19035
73,3878,18373,19081
19,1029,21551,21838
76,4054,18306,19058
40,6222,20244,20863
20,1058,21435,22045
9,1692,22000,22712
46,2237,20158,20929
47,2314,20237,20883
50,2464,20035,20781
52,2529,20032,20823
56,2695,20062,20672
12,672,22286,23063
60,3124,19991,20689
63,3320,19949,20568
36,1841,21517,22282
75,7908,19907,20374
77,8101,19726,20303
41,1976,21540,22246
43,10594,21667,22224
25,3851,22667,23292
57,2882,21032,21700
16,869,23364,23874
58,2945,21079,21778
74,3852,20791,21078
69,3736,20692,21382
78,4268,20418,21111
79,4300,20469,21104
62,7533,21372,22107
29,8822,23137,23760
65,3450,21313,21990
53,11078,22112,22635

# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=103
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,66,3447,4259
2,37,4124,4682
1,63,6407,7255
3,294,9901,10696
4,308,11485,12456
5,365,12757,13684
6,563,13539,14017
7,557,13834,14548
8,614,14091,14904
9,594,14537,15059
10,573,14444,15341
11,576,14738,15412
12,654,15091,15977
13,736,15627,16363
15,851,16415,17047
14,805,16446,17242
16,881,16690,17598
