# FCFS,N/A,80,3,101
0,2
2000,2
4000,3
6000,2
8000,5
10000,7
12000,10
14000,21
16000,28
# SJF,N/A,80,3,101
0,3
2000,3
4000,9
6000,7
8000,8
10000,7
12000,8
14000,12
16000,6
18000,8
20000,7
22000,2
# RR,75,80,3,101
0,2
2000,2
4000,1
6000,4
8000,4
10000,8
12000,7
14000,21
16000,18
18000,13
# FCFS,N/A,80,3,102
0,2
2000,1
4000,1
6000,1
8000,4
10000,5
12000,7
14000,13
16000,20
18000,26
# SJF,N/A,80,3,102
0,6
2000,5
4000,4
6000,6
8000,9
10000,7
12000,12
14000,8
16000,6
18000,5
20000,6
22000,6
# RR,75,80,3,102
0,1
2000,2
4000,3
6000,0
8000,0
10000,3
12000,8
14000,16
16000,17
18000,22
20000,8
# FCFS,N/A,80,3,103
0,2
2000,1
4000,0
6000,1
8000,2
10000,6
12000,4
14000,13
16000,13
18000,32
20000,6
# SJF,N/A,80,3,103
0,3
2000,4
4000,8
6000,7
8000,9
10000,8
12000,8
14000,9
16000,6
18000,7
20000,6
22000,5
# RR,75,80,3,103
0,1
2000,0
4000,2
6000,2
8000,3
10000,3
12000,10
14000,11
16000,21
18000,19
20000,8
# FCFS,N/A,80,3,104
0,3
2000,1
4000,3
6000,1
8000,4
10000,5
12000,5
14000,11
16000,21
18000,26
# SJF,N/A,80,3,104
0,5
2000,4
4000,7
6000,6
8000,9
10000,7
12000,9
14000,8
16000,6
18000,8
20000,6
22000,5
# RR,75,80,3,104
0,3
2000,0
4000,1
6000,1
8000,1
10000,3
12000,3
14000,5
16000,10
18000,20
20000,22
22000,11
# FCFS,N/A,80,3,105
0,3
2000,2
4000,1
6000,1
8000,1
10000,2
12000,7
14000,8
16000,11
18000,23
20000,21
# SJF,N/A,80,3,105
0,6
2000,4
4000,6
6000,8
8000,9
10000,11
12000,9
14000,5
16000,6
18000,6
20000,6
22000,4
# RR,75,80,3,105
0,1
2000,3
4000,0
6000,2
8000,0
10000,2
12000,5
14000,8
16000,9
18000,18
20000,21
22000,11
# FCFS,N/A,80,3,106
0,2
2000,1
4000,2
6000,3
8000,2
10000,7
12000,8
14000,16
16000,32
18000,7
# SJF,N/A,80,3,106
0,6
2000,4
4000,5
6000,7
8000,11
10000,9
12000,9
14000,9
16000,7
18000,5
20000,6
22000,2
# RR,75,80,3,106
0,2
2000,1
4000,2
6000,1
8000,0
10000,5
12000,10
14000,14
16000,21
18000,23
20000,1
# FCFS,N/A,80,3,107
0,2
2000,1
4000,3
6000,2
8000,2
10000,3
12000,5
14000,10
16000,13
18000,36
20000,3
# SJF,N/A,80,3,107
0,4
2000,5
4000,5
6000,11
8000,7
10000,7
12000,7
14000,9
16000,6
18000,6
20000,7
22000,6
# RR,75,80,3,107
0,2
2000,0
4000,0
6000,4
8000,5
10000,3
12000,5
14000,5
16000,17
18000,16
20000,23
# FCFS,N/A,80,3,108
0,1
2000,5
4000,4
6000,5
8000,9
10000,10
12000,34
14000,12
# SJF,N/A,80,3,108
0,4
2000,5
4000,7
6000,7
8000,11
10000,8
12000,5
14000,9
16000,7
18000,6
20000,6
22000,5
# RR,75,80,3,108
0,4
2000,1
4000,3
6000,7
8000,7
10000,17
12000,22
14000,19
# FCFS,N/A,80,3,109
0,3
2000,1
4000,4
6000,4
8000,3
10000,9
12000,9
14000,30
16000,17
# SJF,N/A,80,3,109
0,2
2000,5
4000,6
6000,7
8000,7
10000,9
12000,9
14000,6
16000,7
18000,5
20000,6
22000,6
24000,5
# RR,75,80,3,109
0,2
2000,2
4000,5
6000,4
8000,6
10000,6
12000,15
14000,14
16000,26
# FCFS,N/A,80,3,110
0,2
2000,2
4000,1
6000,2
8000,5
10000,5
12000,12
14000,16
16000,35
# SJF,N/A,80,3,110
0,5
2000,9
4000,3
6000,9
8000,11
10000,8
12000,9
14000,5
16000,9
18000,5
20000,4
22000,3
# RR,75,80,3,110
0,3
2000,0
4000,1
6000,2
8000,3
10000,8
12000,7
14000,13
16000,24
18000,19
# RR,10,80,3,42
0,2
2000,1
4000,4
6000,2
8000,11
10000,10
12000,8
14000,13
16000,18
18000,11
# RR,20,80,3,42
0,2
2000,0
4000,4
6000,1
8000,3
10000,7
12000,8
14000,18
16000,23
18000,14
# RR,30,80,3,42
0,2
2000,3
4000,0
6000,1
8000,7
10000,9
12000,6
14000,9
16000,23
18000,17
20000,3
# RR,40,80,3,42
0,2
2000,0
4000,2
6000,1
8000,1
10000,10
12000,8
14000,7
16000,19
18000,23
20000,7
# RR,50,80,3,42
0,3
2000,3
4000,3
6000,5
8000,5
10000,9
12000,28
14000,22
16000,2
# RR,75,80,3,42
0,2
2000,1
4000,2
6000,2
8000,3
10000,3
12000,9
14000,12
16000,23
18000,19
20000,4
# RR,100,80,3,42
0,2
2000,1
4000,0
6000,2
8000,4
10000,3
12000,6
14000,8
16000,16
18000,29
20000,9
# RR,125,80,3,42
0,2
2000,1
4000,1
6000,0
8000,4
10000,5
12000,7
14000,4
16000,19
18000,29
20000,8
# RR,150,80,3,42
0,2
2000,0
4000,0
6000,0
8000,0
10000,0
12000,0
14000,0
16000,0
18000,0
20000,0
22000,0
24000,0
26000,0
28000,0
30000,0
32000,1
34000,2
36000,4
38000,4
40000,8
42000,8
44000,26
46000,24
48000,1
# RR,175,80,3,42
0,2
2000,0
4000,0
6000,0
8000,0
10000,0
12000,0
14000,0
16000,0
18000,0
20000,0
22000,0
24000,0
26000,0
28000,0
30000,0
32000,0
34000,0
36000,2
38000,2
40000,6
42000,4
44000,6
46000,9
48000,33
50000,16
# RR,200,80,3,42
0,2
2000,1
4000,1
6000,1
8000,2
10000,0
12000,0
14000,0
16000,0
18000,0
20000,0
22000,0
24000,0
26000,0
28000,0
30000,0
32000,0
34000,0
36000,0
38000,1
40000,5
42000,8
44000,8
46000,27
48000,24
